feedback_id,date,channel,segment,journey_stage,region,satisfaction_score,feedback_volume,issue_category,friction_score,follow_up_required,follow_up_completed,post_action_score,comment
FB-0023,2026-04-26,Email,Urban Commuters,Purchase,North,3,111,Trade-in valuation,2,yes,no,3,Trade-in valuation was acceptable but purchase could be smoother.
FB-0054,2026-04-26,Survey,Touring Owners,Ownership,North,5,115,Warranty registration,1,no,no,5,Warranty registration matched expectations and the ownership step felt effortless.
FB-0024,2026-04-27,Email,Performance Enthusiasts,Service,North,3,162,Service cost transparency,2,no,no,3,Mixed experience with service cost transparency; resolved eventually after follow-up.
FB-0190,2026-04-27,Survey,Urban Commuters,Digital,North,4,73,App onboarding,1,no,no,4,App onboarding matched expectations and the digital step felt effortless.
FB-0221,2026-04-27,Social,Performance Enthusiasts,Ownership,Central,3,66,Recall communication,2,yes,yes,3,Recall communication was acceptable but ownership could be smoother.
FB-0276,2026-04-27,Dealer,First-Time Owners,Purchase,Central,3,55,Financing clarity,4,yes,yes,4,Financing clarity took longer than expected but the team communicated.
FB-0151,2026-04-28,Social,Performance Enthusiasts,Digital,North,3,33,Digital service booking,3,no,no,3,Mixed experience with digital service booking; resolved eventually after follow-up.
FB-0373,2026-04-28,App,Urban Commuters,Ownership,North,4,123,Accessories,3,yes,yes,5,Accessories was handled smoothly across the ownership journey.
FB-0015,2026-04-30,Email,Urban Commuters,Ownership,North,3,107,Warranty registration,1,yes,yes,5,Warranty registration took longer than expected but the team communicated.
FB-0140,2026-04-30,Social,Urban Commuters,Ownership,North,4,82,Recall communication,3,no,no,4,Recall communication matched expectations and the ownership step felt effortless.
FB-0191,2026-04-30,Dealer,Touring Owners,Ownership,Central,5,98,Insurance documentation,2,no,no,5,Insurance documentation was handled smoothly across the ownership journey.
FB-0346,2026-05-02,Email,First-Time Owners,Digital,Central,2,82,Feature discovery,2,yes,yes,3,Feature discovery created friction and I expected clearer guidance.
FB-0192,2026-05-03,Email,First-Time Owners,Purchase,Central,2,105,Order tracking,3,yes,yes,4,Order tracking created friction and I expected clearer guidance.
FB-0409,2026-05-03,App,Urban Commuters,Service,North,3,39,Service cost transparency,2,yes,yes,4,Mixed experience with service cost transparency; resolved eventually after follow-up.
FB-0053,2026-05-04,Email,Urban Commuters,Service,Central,4,119,Maintenance clarity,3,yes,no,4,Maintenance clarity matched expectations and the service step felt effortless.
FB-0135,2026-05-04,Email,Touring Owners,Purchase,Central,5,117,Test ride,2,no,no,5,Clear and proactive handling of test ride; very satisfied.
FB-0138,2026-05-04,Email,Touring Owners,Service,North,3,77,Parts availability,1,yes,yes,4,Mixed experience with parts availability; resolved eventually after follow-up.
FB-0246,2026-05-04,Dealer,Urban Commuters,Digital,Central,3,96,Feature discovery,3,yes,yes,4,Feature discovery took longer than expected but the team communicated.
FB-0017,2026-05-05,Survey,Performance Enthusiasts,Digital,Central,3,82,App onboarding,2,no,no,3,App onboarding was acceptable but digital could be smoother.
FB-0119,2026-05-05,Dealer,Performance Enthusiasts,Service,Central,4,66,Service cost transparency,2,no,no,4,Service cost transparency matched expectations and the service step felt effortless.
FB-0223,2026-05-05,App,Touring Owners,Service,North,3,38,Maintenance clarity,3,yes,yes,4,Maintenance clarity was acceptable but service could be smoother.
FB-0048,2026-05-06,Email,Touring Owners,Ownership,Central,4,114,Accessories,2,yes,yes,5,Clear and proactive handling of accessories; very satisfied.
FB-0083,2026-05-06,Social,Touring Owners,Purchase,South,2,76,Financing clarity,4,yes,yes,3,Financing clarity created friction and I expected clearer guidance.
FB-0446,2026-05-06,Email,First-Time Owners,Digital,Central,2,151,Feature discovery,3,yes,yes,5,Feature discovery created friction and I expected clearer guidance.
FB-0387,2026-05-07,Survey,Urban Commuters,Service,North,5,82,Repair turnaround,1,yes,yes,5,Repair turnaround matched expectations and the service step felt effortless.
FB-0234,2026-05-08,Email,Urban Commuters,Digital,Central,4,118,Feature discovery,1,no,no,4,Clear and proactive handling of feature discovery; very satisfied.
FB-0392,2026-05-08,Email,Touring Owners,Ownership,South,3,134,Recall communication,3,yes,no,3,Mixed experience with recall communication; resolved eventually after follow-up.
FB-0098,2026-05-10,App,Performance Enthusiasts,Ownership,North,4,66,Accessories,2,no,no,4,Accessories was handled smoothly across the ownership journey.
FB-0134,2026-05-10,Dealer,Urban Commuters,Purchase,South,5,42,Test ride,2,no,no,5,Test ride matched expectations and the purchase step felt effortless.
FB-0426,2026-05-10,Survey,Urban Commuters,Purchase,South,4,74,Delivery handover,1,yes,yes,5,Delivery handover was handled smoothly across the purchase journey.
FB-0101,2026-05-11,Email,Performance Enthusiasts,Service,North,5,131,Service cost transparency,2,no,no,5,Service cost transparency matched expectations and the service step felt effortless.
FB-0096,2026-05-12,Survey,First-Time Owners,Service,Central,1,125,Parts availability,5,yes,no,1,Parts availability was confusing and slowed the whole service experience.
FB-0255,2026-05-14,Email,Urban Commuters,Purchase,North,4,93,Order tracking,3,no,no,4,Order tracking was handled smoothly across the purchase journey.
FB-0343,2026-05-14,Email,Touring Owners,Digital,North,4,125,App onboarding,2,no,no,4,App onboarding matched expectations and the digital step felt effortless.
FB-0359,2026-05-15,Survey,Touring Owners,Ownership,South,4,84,Accessories,1,no,no,4,Accessories matched expectations and the ownership step felt effortless.
FB-0075,2026-05-16,App,Urban Commuters,Ownership,South,3,37,Insurance documentation,4,yes,yes,5,Insurance documentation took longer than expected but the team communicated.
FB-0262,2026-05-16,Email,First-Time Owners,Digital,Central,4,128,Account access,1,no,no,4,Account access was handled smoothly across the digital journey.
FB-0058,2026-05-17,App,Urban Commuters,Ownership,South,3,127,Accessories,2,no,no,3,Accessories was acceptable but ownership could be smoother.
FB-0042,2026-05-18,Dealer,Urban Commuters,Service,South,2,91,Maintenance clarity,2,yes,yes,4,Maintenance clarity was confusing and slowed the whole service experience.
FB-0127,2026-05-18,Email,Performance Enthusiasts,Purchase,North,5,118,Test ride,1,no,no,5,Test ride was handled smoothly across the purchase journey.
FB-0253,2026-05-18,Dealer,First-Time Owners,Digital,Central,4,110,Account access,2,no,no,4,Account access was handled smoothly across the digital journey.
FB-0158,2026-05-19,App,Performance Enthusiasts,Ownership,North,3,68,Recall communication,3,yes,yes,5,Recall communication was acceptable but ownership could be smoother.
FB-0317,2026-05-19,Social,Touring Owners,Service,Central,3,82,Service cost transparency,2,yes,yes,4,Mixed experience with service cost transparency; resolved eventually after follow-up.
FB-0352,2026-05-19,Dealer,First-Time Owners,Purchase,Central,3,59,Order tracking,1,yes,yes,4,Order tracking was acceptable but purchase could be smoother.
FB-0112,2026-05-20,Survey,Touring Owners,Purchase,North,3,71,Financing clarity,3,yes,yes,4,Mixed experience with financing clarity; resolved eventually after follow-up.
FB-0265,2026-05-20,Dealer,Performance Enthusiasts,Purchase,Central,5,65,Order tracking,1,no,no,5,Order tracking was handled smoothly across the purchase journey.
FB-0402,2026-05-20,App,Performance Enthusiasts,Digital,South,3,40,Connectivity pairing,2,yes,yes,4,Connectivity pairing was acceptable but digital could be smoother.
FB-0045,2026-05-22,Survey,First-Time Owners,Purchase,South,1,117,Financing clarity,5,yes,yes,3,Financing clarity was confusing and slowed the whole purchase experience.
FB-0077,2026-05-22,Dealer,First-Time Owners,Purchase,Central,3,71,Financing clarity,4,yes,no,3,Financing clarity took longer than expected but the team communicated.
FB-0021,2026-05-23,Email,First-Time Owners,Digital,Central,3,117,App onboarding,4,yes,no,3,App onboarding took longer than expected but the team communicated.
FB-0198,2026-05-23,Dealer,Performance Enthusiasts,Ownership,Central,4,101,Accessories,1,no,no,4,Clear and proactive handling of accessories; very satisfied.
FB-0420,2026-05-23,Social,First-Time Owners,Service,North,3,37,Maintenance clarity,3,no,no,3,Maintenance clarity took longer than expected but the team communicated.
FB-0029,2026-05-24,App,Urban Commuters,Digital,South,4,125,App onboarding,4,yes,yes,5,App onboarding matched expectations and the digital step felt effortless.
FB-0009,2026-05-25,Dealer,First-Time Owners,Service,Central,3,52,Maintenance clarity,3,yes,yes,4,Maintenance clarity was acceptable but service could be smoother.
FB-0030,2026-05-26,Survey,Performance Enthusiasts,Service,North,3,94,Service cost transparency,3,yes,yes,5,Service cost transparency took longer than expected but the team communicated.
FB-0160,2026-05-26,Social,Urban Commuters,Purchase,Central,2,72,Test ride,3,yes,no,2,Frustrated with test ride during purchase; needed several contacts to resolve.
FB-0287,2026-05-29,App,Performance Enthusiasts,Digital,South,4,93,Connectivity pairing,2,yes,no,4,Connectivity pairing was handled smoothly across the digital journey.
FB-0357,2026-05-29,Dealer,Performance Enthusiasts,Service,Central,4,114,Service cost transparency,2,no,no,4,Clear and proactive handling of service cost transparency; very satisfied.
FB-0171,2026-05-31,Email,Performance Enthusiasts,Purchase,North,4,154,Trade-in valuation,1,no,no,4,Trade-in valuation was handled smoothly across the purchase journey.
FB-0263,2026-05-31,Social,Urban Commuters,Purchase,North,4,36,Order tracking,3,no,no,4,Clear and proactive handling of order tracking; very satisfied.
FB-0331,2026-06-01,Social,First-Time Owners,Service,Central,2,29,Parts availability,5,yes,no,2,Parts availability was confusing and slowed the whole service experience.
FB-0445,2026-06-01,App,First-Time Owners,Service,North,3,64,Appointment wait,3,yes,no,3,Appointment wait took longer than expected but the team communicated.
FB-0179,2026-06-03,Dealer,Urban Commuters,Digital,Central,3,65,Account access,3,yes,yes,3,Account access was acceptable but digital could be smoother.
FB-0310,2026-06-03,App,Touring Owners,Service,North,4,100,Parts availability,1,no,no,4,Clear and proactive handling of parts availability; very satisfied.
FB-0322,2026-06-03,App,Performance Enthusiasts,Service,North,4,48,Service cost transparency,2,no,no,4,Clear and proactive handling of service cost transparency; very satisfied.
FB-0412,2026-06-03,Dealer,Urban Commuters,Service,Central,3,83,Parts availability,4,yes,yes,4,Mixed experience with parts availability; resolved eventually after follow-up.
FB-0032,2026-06-05,Dealer,Urban Commuters,Service,North,3,84,Maintenance clarity,2,yes,yes,5,Maintenance clarity was acceptable but service could be smoother.
FB-0289,2026-06-05,App,Urban Commuters,Digital,South,5,130,Digital service booking,3,no,no,5,Digital service booking was handled smoothly across the digital journey.
FB-0264,2026-06-06,Email,Urban Commuters,Purchase,North,5,80,Delivery handover,2,no,no,5,Delivery handover was handled smoothly across the purchase journey.
FB-0269,2026-06-06,Survey,Performance Enthusiasts,Ownership,North,3,141,Warranty registration,2,yes,yes,4,Mixed experience with warranty registration; resolved eventually after follow-up.
FB-0303,2026-06-06,Dealer,Performance Enthusiasts,Service,Central,3,116,Maintenance clarity,3,yes,yes,4,Mixed experience with maintenance clarity; resolved eventually after follow-up.
FB-0100,2026-06-07,Survey,Urban Commuters,Purchase,North,4,137,Delivery handover,1,no,no,4,Clear and proactive handling of delivery handover; very satisfied.
FB-0249,2026-06-07,App,First-Time Owners,Ownership,North,4,52,Recall communication,3,no,no,4,Recall communication was handled smoothly across the ownership journey.
FB-0393,2026-06-07,Dealer,Urban Commuters,Purchase,South,5,65,Order tracking,2,no,no,5,Clear and proactive handling of order tracking; very satisfied.
FB-0229,2026-06-08,Email,Urban Commuters,Digital,Central,4,158,Feature discovery,3,no,no,4,Feature discovery was handled smoothly across the digital journey.
FB-0259,2026-06-08,Email,Touring Owners,Ownership,South,2,82,Insurance documentation,3,yes,yes,3,Insurance documentation was confusing and slowed the whole ownership experience.
FB-0307,2026-06-08,Survey,Urban Commuters,Service,North,4,146,Maintenance clarity,3,yes,yes,5,Clear and proactive handling of maintenance clarity; very satisfied.
FB-0396,2026-06-08,Survey,Urban Commuters,Digital,North,5,81,Account access,1,yes,yes,5,Account access matched expectations and the digital step felt effortless.
FB-0137,2026-06-09,Email,Urban Commuters,Ownership,North,4,143,Insurance documentation,2,no,no,4,Clear and proactive handling of insurance documentation; very satisfied.
FB-0405,2026-06-09,Email,Touring Owners,Ownership,North,4,66,Insurance documentation,3,no,no,4,Insurance documentation was handled smoothly across the ownership journey.
FB-0241,2026-06-10,App,First-Time Owners,Service,Central,3,43,Repair turnaround,3,no,no,3,Repair turnaround was acceptable but service could be smoother.
FB-0308,2026-06-10,App,Urban Commuters,Service,North,3,103,Repair turnaround,4,yes,no,3,Repair turnaround was acceptable but service could be smoother.
FB-0232,2026-06-11,Dealer,Urban Commuters,Service,Central,4,56,Repair turnaround,1,no,no,4,Repair turnaround matched expectations and the service step felt effortless.
FB-0145,2026-06-12,Survey,Touring Owners,Digital,Central,5,160,Feature discovery,1,no,no,5,Feature discovery was handled smoothly across the digital journey.
FB-0349,2026-06-12,Dealer,First-Time Owners,Purchase,North,2,56,Financing clarity,4,yes,yes,3,Frustrated with financing clarity during purchase; needed several contacts to resolve.
FB-0448,2026-06-12,App,First-Time Owners,Purchase,South,3,109,Order tracking,3,yes,yes,4,Mixed experience with order tracking; resolved eventually after follow-up.
FB-0104,2026-06-13,Survey,Urban Commuters,Purchase,North,3,118,Financing clarity,2,no,no,3,Financing clarity took longer than expected but the team communicated.
FB-0410,2026-06-14,Social,Touring Owners,Purchase,North,3,31,Test ride,3,yes,yes,4,Test ride took longer than expected but the team communicated.
FB-0267,2026-06-15,Email,Touring Owners,Ownership,Central,5,136,Insurance documentation,2,no,no,5,Insurance documentation was handled smoothly across the ownership journey.
FB-0157,2026-06-16,Social,Performance Enthusiasts,Service,South,3,88,Repair turnaround,4,yes,yes,4,Mixed experience with repair turnaround; resolved eventually after follow-up.
FB-0345,2026-06-17,Survey,Performance Enthusiasts,Purchase,Central,4,123,Test ride,2,yes,yes,5,Clear and proactive handling of test ride; very satisfied.
FB-0428,2026-06-17,Email,Touring Owners,Service,North,3,67,Maintenance clarity,3,no,no,3,Maintenance clarity was acceptable but service could be smoother.
FB-0106,2026-06-18,Survey,Urban Commuters,Service,Central,3,111,Appointment wait,3,yes,yes,5,Mixed experience with appointment wait; resolved eventually after follow-up.
FB-0200,2026-06-18,Social,First-Time Owners,Purchase,Central,2,49,Financing clarity,5,yes,no,2,Financing clarity was confusing and slowed the whole purchase experience.
FB-0222,2026-06-18,Email,Touring Owners,Purchase,North,4,144,Order tracking,2,yes,yes,5,Order tracking was handled smoothly across the purchase journey.
FB-0150,2026-06-19,Dealer,Performance Enthusiasts,Ownership,North,5,55,Documentation,1,no,no,5,Documentation matched expectations and the ownership step felt effortless.
FB-0230,2026-06-19,Email,First-Time Owners,Purchase,Central,4,87,Test ride,3,no,no,4,Test ride matched expectations and the purchase step felt effortless.
FB-0301,2026-06-19,Survey,Performance Enthusiasts,Service,Central,3,109,Service cost transparency,2,yes,yes,5,Mixed experience with service cost transparency; resolved eventually after follow-up.
FB-0425,2026-06-19,Survey,First-Time Owners,Purchase,South,1,112,Financing clarity,4,yes,yes,3,Financing clarity created friction and I expected clearer guidance.
FB-0218,2026-06-20,Dealer,Urban Commuters,Service,North,3,66,Appointment wait,1,yes,yes,4,Appointment wait took longer than expected but the team communicated.
FB-0239,2026-06-21,Survey,Touring Owners,Ownership,Central,4,127,Recall communication,2,no,no,4,Recall communication matched expectations and the ownership step felt effortless.
FB-0114,2026-06-22,Email,Touring Owners,Purchase,Central,4,163,Delivery handover,2,yes,yes,5,Delivery handover matched expectations and the purchase step felt effortless.
FB-0156,2026-06-22,App,Urban Commuters,Service,Central,5,77,Appointment wait,2,yes,no,4,Appointment wait was handled smoothly across the service journey.
FB-0237,2026-06-23,Dealer,First-Time Owners,Purchase,Central,3,106,Financing clarity,3,yes,yes,5,Mixed experience with financing clarity; resolved eventually after follow-up.
FB-0164,2026-06-24,Dealer,Urban Commuters,Purchase,Central,3,68,Financing clarity,3,yes,no,2,Financing clarity took longer than expected but the team communicated.
FB-0174,2026-06-24,Dealer,First-Time Owners,Ownership,Central,3,47,Warranty registration,3,no,no,3,Mixed experience with warranty registration; resolved eventually after follow-up.
FB-0210,2026-06-24,Social,Urban Commuters,Purchase,North,3,43,Financing clarity,3,yes,yes,5,Financing clarity took longer than expected but the team communicated.
FB-0404,2026-06-25,Email,First-Time Owners,Service,Central,2,91,Appointment wait,3,yes,yes,3,Appointment wait created friction and I expected clearer guidance.
FB-0031,2026-06-27,Social,Touring Owners,Ownership,South,4,43,Warranty registration,2,yes,yes,5,Clear and proactive handling of warranty registration; very satisfied.
FB-0217,2026-06-27,Survey,Urban Commuters,Service,North,4,115,Repair turnaround,2,no,no,4,Repair turnaround was handled smoothly across the service journey.
FB-0312,2026-06-27,App,Urban Commuters,Purchase,Central,3,72,Financing clarity,3,no,no,3,Mixed experience with financing clarity; resolved eventually after follow-up.
FB-0115,2026-06-28,Dealer,Urban Commuters,Service,South,5,76,Appointment wait,1,no,no,5,Appointment wait was handled smoothly across the service journey.
FB-0235,2026-06-28,Email,Touring Owners,Purchase,North,4,85,Test ride,3,yes,yes,5,Test ride was handled smoothly across the purchase journey.
FB-0366,2026-06-29,Social,Urban Commuters,Ownership,North,5,78,Insurance documentation,1,no,no,5,Insurance documentation matched expectations and the ownership step felt effortless.
FB-0046,2026-06-30,Social,Performance Enthusiasts,Purchase,North,4,84,Test ride,3,no,no,4,Test ride matched expectations and the purchase step felt effortless.
FB-0088,2026-07-01,Dealer,First-Time Owners,Digital,North,3,112,Digital service booking,3,yes,no,3,Digital service booking took longer than expected but the team communicated.
FB-0130,2026-07-01,App,First-Time Owners,Ownership,Central,3,63,Accessories,3,no,no,3,Mixed experience with accessories; resolved eventually after follow-up.
FB-0086,2026-07-03,Dealer,First-Time Owners,Purchase,Central,3,82,Trade-in valuation,2,yes,yes,3,Trade-in valuation took longer than expected but the team communicated.
FB-0087,2026-07-03,Email,Urban Commuters,Service,South,4,143,Repair turnaround,1,no,no,4,Repair turnaround matched expectations and the service step felt effortless.
FB-0176,2026-07-03,Survey,Touring Owners,Digital,South,3,140,App onboarding,2,yes,yes,5,Mixed experience with app onboarding; resolved eventually after follow-up.
FB-0224,2026-07-04,Social,Performance Enthusiasts,Service,Central,4,77,Service cost transparency,2,no,no,4,Clear and proactive handling of service cost transparency; very satisfied.
FB-0093,2026-07-05,Dealer,Urban Commuters,Service,Central,4,73,Parts availability,3,no,no,4,Clear and proactive handling of parts availability; very satisfied.
FB-0414,2026-07-05,Social,Urban Commuters,Digital,Central,2,73,App onboarding,4,yes,yes,3,App onboarding was confusing and slowed the whole digital experience.
FB-0332,2026-07-06,Survey,Touring Owners,Digital,South,4,91,Account access,3,no,no,4,Account access was handled smoothly across the digital journey.
FB-0002,2026-07-07,Social,Performance Enthusiasts,Purchase,North,5,71,Order tracking,2,no,no,5,Order tracking matched expectations and the purchase step felt effortless.
FB-0169,2026-07-07,Dealer,Urban Commuters,Service,Central,2,111,Parts availability,4,yes,yes,3,Parts availability created friction and I expected clearer guidance.
FB-0394,2026-07-07,App,First-Time Owners,Service,Central,3,68,Parts availability,3,no,no,3,Parts availability was acceptable but service could be smoother.
FB-0207,2026-07-08,Dealer,Performance Enthusiasts,Digital,Central,4,88,Account access,3,no,no,4,Account access was handled smoothly across the digital journey.
FB-0199,2026-07-09,Email,Touring Owners,Digital,North,4,60,Connectivity pairing,1,no,no,4,Clear and proactive handling of connectivity pairing; very satisfied.
FB-0391,2026-07-09,Dealer,Urban Commuters,Ownership,North,4,113,Accessories,3,yes,yes,5,Accessories was handled smoothly across the ownership journey.
FB-0363,2026-07-11,App,Urban Commuters,Service,North,3,82,Service cost transparency,2,yes,yes,4,Service cost transparency was acceptable but service could be smoother.
FB-0197,2026-07-13,Email,Urban Commuters,Purchase,Central,1,109,Financing clarity,5,yes,yes,2,Frustrated with financing clarity during purchase; needed several contacts to resolve.
FB-0236,2026-07-13,Dealer,First-Time Owners,Ownership,North,3,115,Insurance documentation,4,yes,no,3,Mixed experience with insurance documentation; resolved eventually after follow-up.
FB-0297,2026-07-13,App,Performance Enthusiasts,Ownership,Central,2,45,Insurance documentation,4,yes,yes,3,Frustrated with insurance documentation during ownership; needed several contacts to resolve.
FB-0435,2026-07-13,Social,Performance Enthusiasts,Purchase,North,4,67,Delivery handover,2,no,no,4,Delivery handover was handled smoothly across the purchase journey.
FB-0214,2026-07-14,App,Touring Owners,Service,North,3,79,Service cost transparency,3,no,no,3,Service cost transparency took longer than expected but the team communicated.
FB-0227,2026-07-14,Survey,Touring Owners,Purchase,South,4,120,Test ride,2,no,no,4,Test ride was handled smoothly across the purchase journey.
FB-0328,2026-07-14,App,First-Time Owners,Service,North,3,116,Parts availability,3,yes,yes,4,Mixed experience with parts availability; resolved eventually after follow-up.
FB-0001,2026-07-15,Dealer,Touring Owners,Digital,South,4,100,Feature discovery,1,no,no,4,Clear and proactive handling of feature discovery; very satisfied.
FB-0419,2026-07-15,App,Touring Owners,Ownership,South,2,80,Warranty registration,3,yes,yes,3,Frustrated with warranty registration during ownership; needed several contacts to resolve.
FB-0117,2026-07-16,Email,Urban Commuters,Digital,South,4,72,App onboarding,2,no,no,4,Clear and proactive handling of app onboarding; very satisfied.
FB-0288,2026-07-16,App,First-Time Owners,Service,Central,2,109,Parts availability,4,yes,yes,3,Parts availability was confusing and slowed the whole service experience.
FB-0347,2026-07-16,Social,Performance Enthusiasts,Service,North,5,61,Service cost transparency,1,no,no,5,Service cost transparency was handled smoothly across the service journey.
FB-0131,2026-07-17,Survey,Urban Commuters,Digital,North,4,86,Connectivity pairing,2,yes,yes,5,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0370,2026-07-17,Social,Performance Enthusiasts,Service,Central,5,88,Parts availability,2,no,no,5,Clear and proactive handling of parts availability; very satisfied.
FB-0316,2026-07-18,App,Urban Commuters,Digital,North,3,86,Account access,3,no,no,3,Account access took longer than expected but the team communicated.
FB-0362,2026-07-18,Survey,Touring Owners,Ownership,South,4,89,Documentation,2,no,no,4,Documentation was handled smoothly across the ownership journey.
FB-0422,2026-07-18,Survey,Touring Owners,Service,Central,3,144,Appointment wait,2,yes,yes,4,Mixed experience with appointment wait; resolved eventually after follow-up.
FB-0136,2026-07-19,Email,First-Time Owners,Ownership,North,2,164,Insurance documentation,4,yes,no,2,Frustrated with insurance documentation during ownership; needed several contacts to resolve.
FB-0180,2026-07-19,App,Touring Owners,Digital,Central,2,37,App onboarding,3,yes,yes,4,Frustrated with app onboarding during digital; needed several contacts to resolve.
FB-0044,2026-07-20,Social,First-Time Owners,Digital,Central,3,34,Feature discovery,3,no,no,3,Mixed experience with feature discovery; resolved eventually after follow-up.
FB-0397,2026-07-20,Social,Urban Commuters,Purchase,North,3,30,Trade-in valuation,3,yes,no,3,Mixed experience with trade-in valuation; resolved eventually after follow-up.
FB-0447,2026-07-20,App,Performance Enthusiasts,Digital,North,3,53,Digital service booking,2,yes,yes,5,Mixed experience with digital service booking; resolved eventually after follow-up.
FB-0203,2026-07-21,Dealer,Performance Enthusiasts,Service,South,4,41,Appointment wait,1,no,no,4,Appointment wait was handled smoothly across the service journey.
FB-0314,2026-07-21,Dealer,Performance Enthusiasts,Service,North,5,115,Maintenance clarity,1,no,no,5,Maintenance clarity matched expectations and the service step felt effortless.
FB-0411,2026-07-21,Survey,Urban Commuters,Purchase,Central,4,137,Delivery handover,1,no,no,4,Clear and proactive handling of delivery handover; very satisfied.
FB-0094,2026-07-22,App,Performance Enthusiasts,Service,Central,3,76,Service cost transparency,2,yes,yes,5,Service cost transparency took longer than expected but the team communicated.
FB-0172,2026-07-22,Social,Touring Owners,Purchase,North,4,38,Trade-in valuation,2,no,no,4,Trade-in valuation was handled smoothly across the purchase journey.
FB-0038,2026-07-23,Email,Touring Owners,Service,South,3,60,Parts availability,4,yes,yes,5,Parts availability took longer than expected but the team communicated.
FB-0177,2026-07-23,Dealer,Touring Owners,Digital,North,4,83,Account access,1,yes,yes,5,Account access matched expectations and the digital step felt effortless.
FB-0278,2026-07-23,App,Touring Owners,Service,North,4,62,Service cost transparency,3,yes,yes,5,Service cost transparency matched expectations and the service step felt effortless.
FB-0326,2026-07-23,Social,Touring Owners,Service,South,5,43,Service cost transparency,2,no,no,5,Clear and proactive handling of service cost transparency; very satisfied.
FB-0143,2026-07-27,App,Urban Commuters,Purchase,South,3,64,Delivery handover,3,yes,yes,5,Delivery handover took longer than expected but the team communicated.
FB-0382,2026-07-27,Survey,Performance Enthusiasts,Digital,North,4,89,App onboarding,2,no,no,4,App onboarding matched expectations and the digital step felt effortless.
FB-0406,2026-07-27,Survey,Performance Enthusiasts,Purchase,South,4,113,Trade-in valuation,2,no,no,4,Trade-in valuation matched expectations and the purchase step felt effortless.
FB-0066,2026-07-28,Dealer,Urban Commuters,Service,Central,4,49,Maintenance clarity,2,no,no,4,Maintenance clarity matched expectations and the service step felt effortless.
FB-0325,2026-07-28,Social,Urban Commuters,Service,North,3,84,Repair turnaround,2,yes,yes,5,Mixed experience with repair turnaround; resolved eventually after follow-up.
FB-0206,2026-07-29,App,First-Time Owners,Purchase,South,2,117,Financing clarity,5,yes,yes,3,Financing clarity created friction and I expected clearer guidance.
FB-0195,2026-07-30,Social,Urban Commuters,Service,South,5,28,Maintenance clarity,2,no,no,5,Maintenance clarity was handled smoothly across the service journey.
FB-0296,2026-07-30,Survey,First-Time Owners,Service,North,3,80,Service cost transparency,3,no,no,3,Service cost transparency took longer than expected but the team communicated.
FB-0252,2026-07-31,Email,First-Time Owners,Purchase,South,4,79,Test ride,3,no,no,4,Clear and proactive handling of test ride; very satisfied.
FB-0356,2026-07-31,Social,Urban Commuters,Service,South,2,47,Repair turnaround,4,yes,no,2,Frustrated with repair turnaround during service; needed several contacts to resolve.
FB-0367,2026-07-31,Email,First-Time Owners,Ownership,South,2,62,Insurance documentation,4,yes,yes,3,Frustrated with insurance documentation during ownership; needed several contacts to resolve.
FB-0407,2026-07-31,Social,First-Time Owners,Ownership,South,2,85,Insurance documentation,4,yes,yes,4,Insurance documentation was confusing and slowed the whole ownership experience.
FB-0020,2026-08-01,App,First-Time Owners,Service,South,2,98,Parts availability,4,yes,no,2,Frustrated with parts availability during service; needed several contacts to resolve.
FB-0254,2026-08-01,App,Performance Enthusiasts,Service,South,3,74,Repair turnaround,2,yes,yes,5,Repair turnaround was acceptable but service could be smoother.
FB-0079,2026-08-02,Social,Touring Owners,Ownership,Central,4,30,Documentation,2,no,no,4,Documentation was handled smoothly across the ownership journey.
FB-0321,2026-08-02,Dealer,Performance Enthusiasts,Service,North,4,87,Repair turnaround,2,no,no,4,Clear and proactive handling of repair turnaround; very satisfied.
FB-0025,2026-08-03,Survey,First-Time Owners,Digital,Central,3,121,Account access,3,yes,yes,5,Mixed experience with account access; resolved eventually after follow-up.
FB-0159,2026-08-03,Survey,Touring Owners,Service,South,3,143,Maintenance clarity,2,yes,yes,5,Maintenance clarity took longer than expected but the team communicated.
FB-0282,2026-08-04,Dealer,Urban Commuters,Digital,Central,4,71,Digital service booking,2,no,no,4,Clear and proactive handling of digital service booking; very satisfied.
FB-0329,2026-08-04,Dealer,Performance Enthusiasts,Digital,Central,3,67,Account access,3,yes,no,3,Account access was acceptable but digital could be smoother.
FB-0008,2026-08-05,Survey,Urban Commuters,Service,Central,5,112,Repair turnaround,2,no,no,5,Repair turnaround matched expectations and the service step felt effortless.
FB-0063,2026-08-05,Survey,Urban Commuters,Ownership,North,5,127,Accessories,2,yes,yes,5,Accessories matched expectations and the ownership step felt effortless.
FB-0035,2026-08-06,App,Performance Enthusiasts,Service,Central,3,90,Maintenance clarity,3,yes,yes,4,Mixed experience with maintenance clarity; resolved eventually after follow-up.
FB-0124,2026-08-06,Dealer,Touring Owners,Purchase,North,5,104,Delivery handover,1,no,no,5,Delivery handover was handled smoothly across the purchase journey.
FB-0299,2026-08-06,Dealer,Urban Commuters,Ownership,Central,4,105,Documentation,3,yes,yes,5,Clear and proactive handling of documentation; very satisfied.
FB-0413,2026-08-06,Survey,Touring Owners,Purchase,North,1,106,Financing clarity,5,yes,yes,3,Financing clarity was confusing and slowed the whole purchase experience.
